12285	Denis_Novoseltsev [367263]	TAKE	171373	Service Carbine (LSPD4333)	1	25.01.2023, 00:19:04
12284	Sovestj_BlackWood [338965]	GIVE	226341	Carbine Rifle (LSPD2956)	1	25.01.2023, 00:18:16
12283	Denis_Novoseltsev [367263]	GIVE	238590	Carbine Rifle (LSPD5504)	1	25.01.2023, 00:17:41
12282	Denis_Novoseltsev [367263]	GIVE	238590	Service Carbine (LSPD1663)	1	25.01.2023, 00:17:31
12281	Yura_Zhmurii [450038]	GIVE	243761	Carbine Rifle (LSPD5198)	1	25.01.2023, 00:14:14
12280	Yura_Zhmurii [450038]	GIVE	243761	Carbine Rifle (LSPD8929)	1	25.01.2023, 00:14:11
12279	Sylvester_Scorsez [411805]	TAKE	229037	Carbine Rifle (LSPD8929)	1	25.01.2023, 00:13:08
12278	Sylvester_Scorsez [411805]	TAKE	229037	Carbine Rifle (LSPD5198)	1	25.01.2023, 00:13:08
12277	Denis_Novoseltsev [367263]	GIVE	171373	Service Carbine (LSPD4333)	1	25.01.2023, 00:11:54
12276	Denis_Novoseltsev [367263]	GIVE	171373	Carbine Rifle (LSPD9665)	1	25.01.2023, 00:10:56
12275	Vito_Zoldyckov [372862]	GIVE	211428	Carbine Rifle (LSPD1290)	1	25.01.2023, 00:09:06
12274	Sylvester_Scorsez [411805]	GIVE	229037	Carbine Rifle (LSPD5198)	1	25.01.2023, 00:09:06
12273	Sylvester_Scorsez [411805]	GIVE	229037	Carbine Rifle (LSPD8929)	1	25.01.2023, 00:09:05
12272	Sylvester_Scorsez [411805]	TAKE	243581	Carbine Rifle (LSPD8929)	1	25.01.2023, 00:08:34
12271	Sylvester_Scorsez [411805]	TAKE	243581	Carbine Rifle (LSPD5198)	1	25.01.2023, 00:08:33
12270	Antoha_Novoseltsev [448762]	TAKE	91841	Carbine Rifle (LSPD9915)	1	25.01.2023, 00:08:07
12269	Vito_Zoldyckov [372862]	TAKE	211428	Carbine Rifle (LSPD1290)	1	25.01.2023, 00:08:06
12268	Yumy_Korovkina [410310]	TAKE	209727	Carbine Rifle (LSPD3799)	1	25.01.2023, 00:07:04
12267	Yaroslava_Mansurova [371914]	TAKE	176992	Carbine Rifle (LSPD7772)	1	25.01.2023, 00:06:23
12266	Ciggy_Otkatil [407647]	TAKE	231103	Тазер (LSPD5661)	1	25.01.2023, 00:04:54
12265	Ciggy_Otkatil [407647]	TAKE	231103	Тазер (LSPD7147)	1	25.01.2023, 00:04:52
12264	Sylvester_Scorsez [411805]	GIVE	40948	Carbine Rifle (LSPD8050)	1	25.01.2023, 00:03:44
12263	Sylvester_Scorsez [411805]	TAKE	40948	Carbine Rifle (LSPD8050)	1	25.01.2023, 00:03:31
12262	Sovestj_BlackWood [338965]	TAKE	226341	Carbine Rifle (LSPD2956)	1	24.01.2023, 23:57:08
12261	Naomi_Murakami [323280]	TAKE	231338	Service Carbine (LSPD7923)	1	24.01.2023, 23:56:46
12260	Sylvester_Scorsez [411805]	GIVE	40948	Carbine Rifle (LSPD8050)	1	24.01.2023, 23:52:37
12259	Sylvester_Scorsez [411805]	GIVE	40948	Carbine Rifle (LSPD8674)	1	24.01.2023, 23:52:37
12258	Parallax_Yanozzo [354469]	TAKE	241838	Carbine Rifle (LSPD2175)	1	24.01.2023, 23:52:37
12257	Sylvester_Scorsez [411805]	TAKE	40948	Carbine Rifle (LSPD8050)	1	24.01.2023, 23:52:08
12256	Sylvester_Scorsez [411805]	TAKE	40948	Carbine Rifle (LSPD8674)	1	24.01.2023, 23:52:08
12255	Sylvester_Scorsez [411805]	GIVE	40948	Carbine Rifle (LSPD3764)	1	24.01.2023, 23:52:05
12254	Boba_Cooper [367412]	TAKE	240769	Carbine Rifle (LSPD2375)	1	24.01.2023, 23:52:03
12253	Sylvester_Scorsez [411805]	TAKE	40948	Carbine Rifle (LSPD3764)	1	24.01.2023, 23:51:45
12252	Sylvester_Scorsez [411805]	GIVE	243581	Carbine Rifle (LSPD5198)	1	24.01.2023, 23:51:25
12251	Sylvester_Scorsez [411805]	TAKE	243581	Carbine Rifle (LSPD5198)	1	24.01.2023, 23:51:11
12250	Sylvester_Scorsez [411805]	GIVE	243581	Service Carbine (LSPD4624)	1	24.01.2023, 23:50:55
12249	Sylvester_Scorsez [411805]	TAKE	243581	Service Carbine (LSPD4624)	1	24.01.2023, 23:50:21
12248	Sylvester_Scorsez [411805]	GIVE	243581	Carbine Rifle (LSPD6123)	1	24.01.2023, 23:50:19
12247	Sylvester_Scorsez [411805]	GIVE	243581	Carbine Rifle (LSPD8929)	1	24.01.2023, 23:50:19
